Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead Time
1,US-2021-103800-CHO-MIL-31000,2024-01-03,2026-06-30,3,103800,1,Houston,51,77095,0,2,CHO-MIL-31000,9,6.5,2,4.22,2.28,909
2,US-2021-112326-CHO-TRI-54000,2024-01-04,2026-07-01,3,112326,1,Naperville,13,60540,0,2,CHO-TRI-54000,11,7.5,2,4.9,2.6,909
3,US-2021-112326-CHO-NUT-13000,2024-01-04,2026-07-01,3,112326,1,Naperville,13,60540,0,2,CHO-NUT-13000,10,10.47,3,7.47,3.0,909
4,US-2021-112326-CHO-SCR-58000,2024-01-04,2026-07-01,3,112326,1,Naperville,13,60540,0,2,CHO-SCR-58000,12,10.8,3,7.5,3.3,909
5,US-2021-141817-CHO-TRI-54000,2024-01-05,2026-07-05,3,141817,1,Philadelphia,43,19143,0,0,CHO-TRI-54000,11,11.25,3,7.35,3.9,912
6,US-2021-167199-CHO-SCR-58000,2024-01-06,2026-07-03,3,167199,1,Henderson,17,42420,0,1,CHO-SCR-58000,12,32.4,9,22.5,9.9,909
7,US-2021-167199-CHO-TRI-54000,2024-01-06,2026-07-03,3,167199,1,Henderson,17,42420,0,1,CHO-TRI-54000,11,7.5,2,4.9,2.6,909
8,US-2021-106054-CHO-MIL-31000,2024-01-06,2026-06-30,0,106054,1,Athens,11,30605,0,1,CHO-MIL-31000,9,9.75,3,6.33,3.42,906
9,US-2021-167199-CHO-NUT-13000,2024-01-06,2026-07-03,3,167199,1,Henderson,17,42420,0,1,CHO-NUT-13000,10,6.98,2,4.98,2.0,909
10,US-2021-167199-CHO-MIL-31000,2024-01-06,2026-07-03,3,167199,1,Henderson,17,42420,0,1,CHO-MIL-31000,9,13.0,4,8.44,4.56,909
11,US-2021-167199-CHO-MIL-31000,2024-01-06,2026-07-03,3,167199,1,Henderson,17,42420,0,1,CHO-MIL-31000,9,3.25,1,2.11,1.14,909
12,US-2021-130813-CHO-MIL-31000,2024-01-06,2026-07-01,2,130813,1,Los Angeles,5,90049,0,3,CHO-MIL-31000,9,9.75,3,6.33,3.42,907
